evaluator,p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
armorm,only_correctness,Fair,"alpha=0.0,eps=0.01",-0.009999999999999969,-0.009999999999999967,0.0017578124999999556
armorm,only_correctness,Fair,"alpha=0.0,eps=0.02",-0.02000000000000005,-0.020000000000000046,0.0015625000000000222
armorm,only_correctness,Fair,"alpha=0.0,eps=0.05",-0.049999999999999954,-0.049999999999999954,0.0045166015625
armorm,only_correctness,Fair,"alpha=0.0,eps=0.1",-0.10000000000000002,-0.10000000000000002,0.006909179687499933
armorm,only_correctness,Fair,"alpha=0.5,eps=0.01",-1.7429413791046023e-05,-1.7429413791046023e-05,0.0008300781250000222
armorm,only_correctness,Fair,"alpha=0.5,eps=0.02",-3.485878494349512e-05,-3.485878494349512e-05,0.0
armorm,only_correctness,Fair,"alpha=0.5,eps=0.05",-8.71462922690627e-05,-8.71462922690627e-05,0.0
armorm,only_correctness,Fair,"alpha=0.5,eps=0.1",-0.0001742932718325724,-0.00017429327183257244,0.0
armorm,only_correctness,Fair,"alpha=1.0,eps=0.01",-8.714703906549483e-06,-8.714703906549483e-06,0.0
armorm,only_correctness,Fair,"alpha=1.0,eps=0.02",-1.7429398327793593e-05,-1.7429398327793593e-05,0.0008300781250000222
armorm,only_correctness,Fair,"alpha=1.0,eps=0.05",-4.3573511048895616e-05,-4.3573511048895616e-05,0.0
armorm,only_correctness,Fair,"alpha=1.0,eps=0.1",-8.71468957783642e-05,-8.71468957783642e-05,0.0
armorm,only_correctness,Fair,"alpha=2.0,eps=0.01",-4.357367534449522e-06,-4.357367534449521e-06,0.0
armorm,only_correctness,Fair,"alpha=2.0,eps=0.02",-8.71470522501477e-06,-8.71470522501477e-06,0.0
armorm,only_correctness,Fair,"alpha=2.0,eps=0.05",-2.1786765188245097e-05,-2.17867651882451e-05,0.0
armorm,only_correctness,Fair,"alpha=2.0,eps=0.1",-4.357352561527687e-05,-4.357352561527688e-05,0.0
armorm,only_coherence,Fair,"alpha=0.0,eps=0.01",-0.010000000000000007,-0.010000000000000007,-0.0003662109375
armorm,only_coherence,Fair,"alpha=0.0,eps=0.02",-0.020000000000000014,-0.020000000000000014,-0.002783203125000022
armorm,only_coherence,Fair,"alpha=0.0,eps=0.05",-0.05000000000000003,-0.05000000000000003,-0.004101562500000044
armorm,only_coherence,Fair,"alpha=0.0,eps=0.1",-0.09999999999999995,-0.09999999999999995,0.003637695312500022
armorm,only_coherence,Fair,"alpha=0.5,eps=0.01",-0.00022028671254792462,-0.00022028671254792462,-0.0005371093750000666
armorm,only_coherence,Fair,"alpha=0.5,eps=0.02",-0.000440571420046476,-0.000440571420046476,0.0
armorm,only_coherence,Fair,"alpha=0.5,eps=0.05",-0.0011014300728062428,-0.0011014300728062428,0.0008300781250000222
armorm,only_coherence,Fair,"alpha=0.5,eps=0.1",-0.002202860358260502,-0.002202860358260502,0.002587890624999978
armorm,only_coherence,Fair,"alpha=1.0,eps=0.01",-0.0001104484612597875,-0.0001104484612597875,0.0
armorm,only_coherence,Fair,"alpha=1.0,eps=0.02",-0.00022089747841493447,-0.00022089747841493447,0.0
armorm,only_coherence,Fair,"alpha=1.0,eps=0.05",-0.0005522418619591325,-0.0005522418619591326,0.0
armorm,only_coherence,Fair,"alpha=1.0,eps=0.1",-0.0011044837060705985,-0.0011044837060705985,0.0008300781250000222
armorm,only_coherence,Fair,"alpha=2.0,eps=0.01",-5.529995192747235e-05,-5.529995192747235e-05,0.0
armorm,only_coherence,Fair,"alpha=2.0,eps=0.02",-0.00011059990385819702,-0.000110599903858197,0.0
armorm,only_coherence,Fair,"alpha=2.0,eps=0.05",-0.00027649981577447926,-0.0002764998157744792,0.0
armorm,only_coherence,Fair,"alpha=2.0,eps=0.1",-0.0005529995199583418,-0.0005529995199583418,0.0
armorm,only_complexity,Fair,"alpha=0.0,eps=0.01",-0.009999999999999993,-0.009999999999999993,0.0003173828125000444
armorm,only_complexity,Fair,"alpha=0.0,eps=0.02",-0.019999999999999987,-0.019999999999999987,0.005224609375000022
armorm,only_complexity,Fair,"alpha=0.0,eps=0.05",-0.04999999999999996,-0.04999999999999996,0.0020263671875000444
armorm,only_complexity,Fair,"alpha=0.0,eps=0.1",-0.10000000000000003,-0.10000000000000003,0.009143066406250067
armorm,only_complexity,Fair,"alpha=0.5,eps=0.01",-0.00048661645812227047,-0.0004866164581222704,0.0
armorm,only_complexity,Fair,"alpha=0.5,eps=0.02",-0.0009732329218850296,-0.0009732329218850296,0.0001708984375000666
armorm,only_complexity,Fair,"alpha=0.5,eps=0.05",-0.002433082218856404,-0.0024330822188564044,-0.0013427734375
armorm,only_complexity,Fair,"alpha=0.5,eps=0.1",-0.004866164191460923,-0.004866164191460923,-0.00439453125
armorm,only_complexity,Fair,"alpha=1.0,eps=0.01",-0.00024478770680964076,-0.0002447877068096408,0.0
armorm,only_complexity,Fair,"alpha=1.0,eps=0.02",-0.0004895810100943673,-0.0004895810100943673,-0.0015625000000000222
armorm,only_complexity,Fair,"alpha=1.0,eps=0.05",-0.001223953119753519,-0.001223953119753519,0.0001708984375000666
armorm,only_complexity,Fair,"alpha=1.0,eps=0.1",-0.0024479066856654417,-0.0024479066856654417,-0.002416992187500022
armorm,only_complexity,Fair,"alpha=2.0,eps=0.01",-0.00012275841411716584,-0.00012275841411716584,0.0
armorm,only_complexity,Fair,"alpha=2.0,eps=0.02",-0.0002455168282494825,-0.00024551682824948244,0.0
armorm,only_complexity,Fair,"alpha=2.0,eps=0.05",-0.0006137920706300557,-0.0006137920706300558,0.0
armorm,only_complexity,Fair,"alpha=2.0,eps=0.1",-0.001227584132637119,-0.001227584132637119,0.0001708984375000666
armorm,only_verbosity,Fair,"alpha=0.0,eps=0.01",-0.009999999999999955,-0.009999999999999955,0.005688476562499933
armorm,only_verbosity,Fair,"alpha=0.0,eps=0.02",-0.02000000000000002,-0.02000000000000002,0.008374023437499933
armorm,only_verbosity,Fair,"alpha=0.0,eps=0.05",-0.049999999999999996,-0.049999999999999996,-0.0020751953125
armorm,only_verbosity,Fair,"alpha=0.0,eps=0.1",-0.09999999999999999,-0.09999999999999999,-0.005932617187500044
armorm,only_verbosity,Fair,"alpha=0.5,eps=0.01",-0.0009355327777957251,-0.0009355327777957251,0.0002929687499999556
armorm,only_verbosity,Fair,"alpha=0.5,eps=0.02",-0.0018710653912128639,-0.0018710653912128639,0.00146484375
armorm,only_verbosity,Fair,"alpha=0.5,eps=0.05",-0.00467766449809439,-0.00467766449809439,0.0010742187500000222
armorm,only_verbosity,Fair,"alpha=0.5,eps=0.1",-0.009355328346477702,-0.009355328346477702,0.006591796875
armorm,only_verbosity,Fair,"alpha=1.0,eps=0.01",-0.00047495045744172396,-0.00047495045744172396,0.0013671874999999778
armorm,only_verbosity,Fair,"alpha=1.0,eps=0.02",-0.000949900438526278,-0.000949900438526278,-0.0005859375000000222
armorm,only_verbosity,Fair,"alpha=1.0,eps=0.05",-0.002374751750374946,-0.002374751750374946,0.0016113281249999778
armorm,only_verbosity,Fair,"alpha=1.0,eps=0.1",-0.004749500733344669,-0.004749500733344669,0.0010742187500000222
armorm,only_verbosity,Fair,"alpha=2.0,eps=0.01",-0.0002392474113051119,-0.0002392474113051119,0.0013671874999999778
armorm,only_verbosity,Fair,"alpha=2.0,eps=0.02",-0.00047849479273550863,-0.00047849479273550863,0.0005371093749999556
armorm,only_verbosity,Fair,"alpha=2.0,eps=0.05",-0.001196237580945793,-0.001196237580945793,0.0002929687499999556
armorm,only_verbosity,Fair,"alpha=2.0,eps=0.1",-0.0023924741352791125,-0.0023924741352791125,0.0016113281249999778
urm,balanced,Avg,rho=0.0,0.005267308930060976,-0.2071034550543905,0.016105804443359434
urm,balanced,Avg,rho=0.1,0.0007508927476634226,-0.04758910807787511,0.009401969909668005
urm,balanced,Avg,rho=0.2,0.00037544723441798106,-0.023794649145011823,0.008451118469238348
urm,balanced,Avg,rho=0.5,0.00015017597644101247,-0.009517660545028075,0.002459297180175818
urm,balanced,MaxMin,c=0.0,0.00015539958439585202,-0.00972485604169014,0.0026155471801758397
urm,balanced,MaxMin,c=0.1,0.0001416921273393655,-0.00860673854863451,0.003999214172363339
urm,balanced,MaxMin,c=0.25,0.00012113094202258545,-0.006929562309036583,0.002474632263183657
urm,balanced,MaxMin,c=0.5,8.686229995122974e-05,-0.0041342685756023505,0.0005425643920898698
urm,balanced,MaxMin,c=0.75,4.229816597732788e-05,-0.0018071608931484386,0.0014425277709961134
urm,balanced,MaxMin,c=0.9,1.6430136739807442e-05,-0.0006469194567941142,-0.00048069000244141955
urm,balanced,MaxMin,c=0.95,8.000722798384531e-06,-0.0003138983246930921,0.0013110351562500122
urm,balanced,Fair,"alpha=0.0,eps=0.01",0.0002622284169485681,-0.01000000000000001,0.00784786224365238
urm,balanced,Fair,"alpha=0.0,eps=0.02",0.0005244568338971422,-0.020000000000000018,0.021003417968750007
urm,balanced,Fair,"alpha=0.0,eps=0.05",0.0013111420847428629,-0.05000000000000002,0.03170465469360356
urm,balanced,Fair,"alpha=0.0,eps=0.1",0.0026222841694856897,-0.10000000000000005,0.018273391723632827
