evaluator,evaluator_role,p_name,method,params,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,selection_regret,baseline_regret,p_holm_within_rm,p_holm_global,holm_within_rm_improves,holm_global_improves,holm_global_harms
armorm,primary post-hoc evaluator,dominant_coherence,MaxMin,c=0.25,0.5985054016113281,0.5973434448242189,-0.001161956787109375,-0.012240028381347655,0.009939193725585932,False,0.843,0.013536071777343506,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,MaxMin,c=0.5,0.5985054016113281,0.6033187866210937,0.004813385009765625,-0.005049190521240234,0.014472446441650388,False,0.3336,0.007560729980468639,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,MaxMin,c=0.75,0.5985054016113281,0.6026626586914063,0.004157257080078125,-0.005577926635742188,0.01398027420043945,False,0.399,0.008216857910156028,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,MaxMin,c=0.9,0.5985054016113281,0.5982658386230469,-0.00023956298828125,-0.008085670471191407,0.00766448974609375,False,0.9578,0.012613677978515425,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,MaxMin,c=0.95,0.5985054016113281,0.5997833251953125,0.001277923583984375,-0.003942947387695312,0.006471309661865234,False,0.632,0.011096191406249845,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Fair,"alpha=0.0,eps=0.01",0.5985054016113281,0.5953304290771484,-0.0031749725341796873,-0.012257204055786132,0.005869503021240231,False,0.4932,0.015549087524413974,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Fair,"alpha=0.0,eps=0.02",0.5985054016113281,0.6008918762207032,0.002386474609375,-0.007338485717773437,0.012080459594726561,False,0.6452,0.009987640380859197,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Fair,"alpha=0.0,eps=0.05",0.5985054016113281,0.5996383666992188,0.001132965087890625,-0.010731563568115233,0.013103542327880859,False,0.876,0.011241149902343595,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Fair,"alpha=0.0,eps=0.1",0.5985054016113281,0.6046722412109374,0.006166839599609375,-0.007475814819335937,0.019651126861572263,False,0.374,0.006207275390624933,0.01237411499023422,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_coherence,Fair,"alpha=0.5,eps=0.01",0.5985054016113281,0.5963630676269531,-0.002142333984375,-0.0052215576171875,0.0,False,0.093,0.014516448974609242,0.01237411499023422,1.0,1.0,False,False,False
