p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",MaxMin,c=0.75,OK,"[0.1091, 0.1107, 0.1093, 0.5614, 0.1094]",0.06864107080776617,0.06145170215732063,0.5288772583007812,0.5297988891601563,0.0009216308593750222,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",MaxMin,c=0.9,OK,"[0.1187, 0.1193, 0.1187, 0.5245, 0.1188]",0.0274447123616632,0.02457019201471208,0.5288772583007812,0.5296981811523438,0.0008209228515625444,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",MaxMin,c=1.0,OK,"[0.125, 0.125, 0.125, 0.5, 0.125]",0.0,0.0,0.5288772583007812,0.5288772583007812,0.0,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=0.0,eps=0.02",OK,"[0.2292, 0.1006, 0.0988, 0.4732, 0.0981]",0.11653812337110375,0.1040030025181402,0.5288772583007812,0.5318130493164063,0.002935791015625022,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=0.0,eps=0.05",OK,"[0.3855, 0.0641, 0.0596, 0.4331, 0.0576]",0.2913453084277595,0.26000750629535063,0.5288772583007812,0.5301635742187499,0.0012863159179686834,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=0.0,eps=0.1",OK,"[0.6304, 0.0032, 0.0, 0.3664, 0.0]",0.5651187413995983,0.5044007871516414,0.5288772583007812,0.5317047119140624,0.0028274536132811834,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=1.0,eps=0.02",OK,"[0.1259, 0.1243, 0.1248, 0.5006, 0.1244]",0.0014442341890762982,0.0013015246563264269,0.5288772583007812,0.5288772583007812,0.0,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.1273, 0.1233, 0.1246, 0.5014, 0.1234]",0.00361058681835406,0.0032538128572331573,0.5288772583007812,0.5288772583007812,0.0,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=1.0,eps=0.1",OK,"[0.1296, 0.1216, 0.1242, 0.5028, 0.1218]",0.007221173986130455,0.006507626016468159,0.5288772583007812,0.5289749145507813,9.76562500000222e-05,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=2.0,eps=0.02",OK,"[0.1255, 0.1247, 0.1249, 0.5003, 0.1247]",0.0007207128770676468,0.0006495382275356773,0.5288772583007812,0.5288772583007812,0.0,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=2.0,eps=0.05",OK,"[0.1262, 0.1241, 0.1248, 0.5007, 0.1242]",0.0018017820216756888,0.0016238454124307222,0.5288772583007812,0.5288772583007812,0.0,
dominant_complexity,"[0.125, 0.125, 0.125, 0.5, 0.125]",Fair,"alpha=2.0,eps=0.1",OK,"[0.1273, 0.1233, 0.1246, 0.5014, 0.1234]",0.0036035643987975927,0.003247691150164406,0.5288772583007812,0.5288772583007812,0.0,
dominant_verbosity,"[0.125, 0.125, 0.125, 0.125, 0.5]",Avg,rho=0.5,OK,"[0.0573, 0.0443, 0.0489, 0.0547, 0.7949]",0.32981122403171864,0.29915301068349553,0.5688934326171875,0.5623092651367188,-0.00658416748046875,
