p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
dominant_coherence,MaxMin,c=0.0,MaxMin(c=0.0),0.6026168823242187,0.5931812286376953,-0.009435653686523438,-0.021283721923828124,0.0024236965179443327,False,0.1126,1.0,False,False,False,0.015024948120117232,0.005589294433593794
dominant_coherence,MaxMin,c=0.1,MaxMin(c=0.1),0.6026168823242187,0.5975326538085938,-0.005084228515625,-0.01663665771484375,0.006469764709472655,False,0.3784,1.0,False,False,False,0.01067352294921875,0.005589294433593794
dominant_coherence,MaxMin,c=0.25,MaxMin(c=0.25),0.6026168823242187,0.5984313964843749,-0.00418548583984375,-0.015856971740722658,0.0075271987915039055,False,0.4682,1.0,False,False,False,0.009774780273437589,0.005589294433593794
dominant_coherence,MaxMin,c=0.5,MaxMin(c=0.5),0.6026168823242187,0.5997390747070312,-0.0028778076171875,-0.013653945922851561,0.008115119934082024,False,0.5868,1.0,False,False,False,0.008467102050781272,0.005589294433593794
dominant_coherence,MaxMin,c=0.75,MaxMin(c=0.75),0.6026168823242187,0.598858642578125,-0.00375823974609375,-0.01262523651123047,0.005191192626953123,False,0.4078,1.0,False,False,False,0.009347534179687478,0.005589294433593794
dominant_coherence,MaxMin,c=0.9,MaxMin(c=0.9),0.6026168823242187,0.603192138671875,0.00057525634765625,-0.005923538208007812,0.006990127563476562,False,0.8462,1.0,False,False,False,0.005014038085937478,0.005589294433593794
dominant_coherence,MaxMin,c=0.95,MaxMin(c=0.95),0.6026168823242187,0.60389404296875,0.00127716064453125,-0.0049393844604492185,0.0076873779296875,False,0.7,1.0,False,False,False,0.004312133789062478,0.005589294433593794
dominant_coherence,Fair,"alpha=0.0,eps=0.01","Fair(alpha=0.0,eps=0.01)",0.6026168823242187,0.6035018920898437,0.000885009765625,-0.00797882080078125,0.009996337890624997,False,0.8516,1.0,False,False,False,0.004704284667968794,0.005589294433593794
dominant_coherence,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.6026168823242187,0.6016983032226563,-0.0009185791015625,-0.009994773864746094,0.008273391723632811,False,0.8484,1.0,False,False,False,0.00650787353515625,0.005589294433593794
dominant_coherence,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.6026168823242187,0.5974212646484375,-0.00519561767578125,-0.01643218994140625,0.005957107543945311,False,0.3612,1.0,False,False,False,0.010784912109375044,0.005589294433593794
dominant_coherence,Fair,"alpha=0.0,eps=0.1","Fair(alpha=0.0,eps=0.1)",0.6026168823242187,0.5923858642578125,-0.01023101806640625,-0.023297195434570313,0.0027230072021484255,False,0.1238,1.0,False,False,False,0.015820312500000044,0.005589294433593794
dominant_coherence,Fair,"alpha=0.5,eps=0.01","Fair(alpha=0.5,eps=0.01)",0.6026168823242187,0.6010726928710938,-0.001544189453125,-0.004583816528320312,0.0013946533203125,False,0.3232,1.0,False,False,False,0.00713348388671875,0.005589294433593794
dominant_coherence,Fair,"alpha=0.5,eps=0.02","Fair(alpha=0.5,eps=0.02)",0.6026168823242187,0.6022750854492187,-0.000341796875,-0.0041015625,0.0035980224609375,False,0.8652,1.0,False,False,False,0.005931091308593817,0.005589294433593794
dominant_coherence,Fair,"alpha=0.5,eps=0.05","Fair(alpha=0.5,eps=0.05)",0.6026168823242187,0.6006881713867187,-0.0019287109375,-0.0067353820800781245,0.002862548828125,False,0.4366,1.0,False,False,False,0.007518005371093817,0.005589294433593794
dominant_coherence,Fair,"alpha=0.5,eps=0.1","Fair(alpha=0.5,eps=0.1)",0.6026168823242187,0.6002609252929688,-0.00235595703125,-0.007525863647460937,0.002621612548828123,False,0.3628,1.0,False,False,False,0.007945251464843706,0.005589294433593794
dominant_coherence,Fair,"alpha=1.0,eps=0.01","Fair(alpha=1.0,eps=0.01)",0.6026168823242187,0.6026779174804687,6.103515625e-05,-0.002490234375,0.0024139404296875,False,0.943,1.0,False,False,False,0.005528259277343794,0.005589294433593794
dominant_coherence,Fair,"alpha=1.0,eps=0.02","Fair(alpha=1.0,eps=0.02)",0.6026168823242187,0.6010726928710938,-0.001544189453125,-0.004583816528320312,0.0013946533203125,False,0.3232,1.0,False,False,False,0.00713348388671875,0.005589294433593794
dominant_coherence,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.6026168823242187,0.6020156860351562,-0.0006011962890625,-0.004788284301757813,0.0036012268066406227,False,0.7934,1.0,False,False,False,0.006190490722656317,0.005589294433593794
dominant_coherence,Fair,"alpha=1.0,eps=0.1","Fair(alpha=1.0,eps=0.1)",0.6026168823242187,0.6006332397460937,-0.001983642578125,-0.006781005859375,0.002813720703125,False,0.4248,1.0,False,False,False,0.007572937011718794,0.005589294433593794
dominant_coherence,Fair,"alpha=2.0,eps=0.01","Fair(alpha=2.0,eps=0.01)",0.6026168823242187,0.6023513793945313,-0.0002655029296875,-0.002490234375,0.0016937255859375,False,0.9504,1.0,False,False,False,0.005854797363281206,0.005589294433593794
dominant_coherence,Fair,"alpha=2.0,eps=0.02","Fair(alpha=2.0,eps=0.02)",0.6026168823242187,0.6026779174804687,6.103515625e-05,-0.002490234375,0.0024139404296875,False,0.943,1.0,False,False,False,0.005528259277343794,0.005589294433593794
dominant_coherence,Fair,"alpha=2.0,eps=0.05","Fair(alpha=2.0,eps=0.05)",0.6026168823242187,0.6010726928710938,-0.001544189453125,-0.004583816528320312,0.0013946533203125,False,0.3232,1.0,False,False,False,0.00713348388671875,0.005589294433593794
dominant_coherence,Fair,"alpha=2.0,eps=0.1","Fair(alpha=2.0,eps=0.1)",0.6026168823242187,0.6020156860351562,-0.0006011962890625,-0.004788284301757813,0.0036012268066406227,False,0.7934,1.0,False,False,False,0.006190490722656317,0.005589294433593794
dominant_complexity,Avg,rho=0.0,Avg(rho=0.0),0.5361297607421875,0.5450813293457032,0.008951568603515625,-0.003513526916503906,0.02154109954833983,False,0.1616,1.0,False,False,False,0.005995941162109331,0.014947509765624978
dominant_complexity,Avg,rho=0.1,Avg(rho=0.1),0.5361297607421875,0.5450813293457032,0.008951568603515625,-0.003513526916503906,0.02154109954833983,False,0.1616,1.0,False,False,False,0.005995941162109331,0.014947509765624978
dominant_complexity,Avg,rho=0.2,Avg(rho=0.2),0.5361297607421875,0.5450813293457032,0.008951568603515625,-0.003513526916503906,0.02154109954833983,False,0.1616,1.0,False,False,False,0.005995941162109331,0.014947509765624978
dominant_complexity,Avg,rho=0.5,Avg(rho=0.5),0.5361297607421875,0.5472015380859375,0.01107177734375,-0.00139923095703125,0.023570480346679686,False,0.0872,1.0,False,False,False,0.003875732421875,0.014947509765624978
dominant_complexity,MaxMin,c=0.0,MaxMin(c=0.0),0.5361297607421875,0.548358154296875,0.0122283935546875,-0.001075935363769531,0.02527179718017578,False,0.0712,1.0,False,False,False,0.0027191162109375666,0.014947509765624978
dominant_complexity,MaxMin,c=0.1,MaxMin(c=0.1),0.5361297607421875,0.5510772705078124,0.014947509765625,0.002164688110351563,0.02759262084960937,True,0.0224,1.0,False,False,False,1.1102230246251565e-16,0.014947509765624978
dominant_complexity,MaxMin,c=0.25,MaxMin(c=0.25),0.5361297607421875,0.5485412597656251,0.0124114990234375,-0.0010361480712890625,0.02579372406005859,False,0.0714,1.0,False,False,False,0.0025360107421874556,0.014947509765624978
dominant_complexity,MaxMin,c=0.5,MaxMin(c=0.5),0.5361297607421875,0.5470611572265625,0.010931396484375,-0.0003326797485351562,0.02157459259033203,False,0.0586,1.0,False,False,False,0.004016113281250067,0.014947509765624978
dominant_complexity,MaxMin,c=0.75,MaxMin(c=0.75),0.5361297607421875,0.5510269165039062,0.01489715576171875,0.0032058334350585937,0.026590652465820302,True,0.0122,1.0,False,False,False,5.035400390629441e-05,0.014947509765624978
dominant_complexity,MaxMin,c=0.9,MaxMin(c=0.9),0.5361297607421875,0.54798583984375,0.0118560791015625,0.0016521453857421878,0.021986465454101562,True,0.0232,1.0,False,False,False,0.003091430664062478,0.014947509765624978
dominant_complexity,MaxMin,c=0.95,MaxMin(c=0.95),0.5361297607421875,0.5445037841796875,0.0083740234375,0.00042255401611328134,0.01634231567382812,True,0.0404,1.0,False,False,False,0.006573486328125044,0.014947509765624978
dominant_complexity,Fair,"alpha=0.0,eps=0.01","Fair(alpha=0.0,eps=0.01)",0.5361297607421875,0.5440475463867187,0.00791778564453125,-0.0017537307739257809,0.018017616271972656,False,0.11,1.0,False,False,False,0.007029724121093817,0.014947509765624978
dominant_complexity,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.5361297607421875,0.5402435302734375,0.00411376953125,-0.007914009094238282,0.015828323364257806,False,0.5112,1.0,False,False,False,0.010833740234375,0.014947509765624978
dominant_complexity,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.5361297607421875,0.5401992797851562,0.00406951904296875,-0.008466148376464842,0.01639572143554687,False,0.5446,1.0,False,False,False,0.010877990722656272,0.014947509765624978
dominant_complexity,Fair,"alpha=0.0,eps=0.1","Fair(alpha=0.0,eps=0.1)",0.5361297607421875,0.5419326782226562,0.00580291748046875,-0.00830280303955078,0.0193140411376953,False,0.4078,1.0,False,False,False,0.009144592285156294,0.014947509765624978
dominant_complexity,Fair,"alpha=0.5,eps=0.01","Fair(alpha=0.5,eps=0.01)",0.5361297607421875,0.5356842041015626,-0.000445556640625,-0.001336669921875,0.0,False,0.7356,1.0,False,False,False,0.015393066406249933,0.014947509765624978
dominant_complexity,Fair,"alpha=0.5,eps=0.02","Fair(alpha=0.5,eps=0.02)",0.5361297607421875,0.5341369628906251,-0.0019927978515625,-0.0054534912109375,0.0007568359375,False,0.1952,1.0,False,False,False,0.016940307617187456,0.014947509765624978
dominant_complexity,Fair,"alpha=0.5,eps=0.05","Fair(alpha=0.5,eps=0.05)",0.5361297607421875,0.5360382080078124,-9.1552734375e-05,-0.0038117218017578126,0.0032989501953125,False,0.9848,1.0,False,False,False,0.015039062500000089,0.014947509765624978
dominant_complexity,Fair,"alpha=0.5,eps=0.1","Fair(alpha=0.5,eps=0.1)",0.5361297607421875,0.5384963989257813,0.00236663818359375,-0.003525123596191406,0.008146858215332028,False,0.4226,1.0,False,False,False,0.01258087158203125,0.014947509765624978
dominant_complexity,Fair,"alpha=1.0,eps=0.01","Fair(alpha=1.0,eps=0.01)",0.5361297607421875,0.5356842041015626,-0.000445556640625,-0.001336669921875,0.0,False,0.7356,1.0,False,False,False,0.015393066406249933,0.014947509765624978
