p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
balanced,Fair,"alpha=1.0,eps=0.05",4.47497293768103e-05,-0.002437751513084523,0.0003417968749999556
balanced,Fair,"alpha=1.0,eps=0.1",8.949946175450165e-05,-0.004875503642579526,-0.0004980468750000133
balanced,Fair,"alpha=2.0,eps=0.01",4.493470478128435e-06,-0.0002457210757111726,-0.00018066406250001333
balanced,Fair,"alpha=2.0,eps=0.02",8.986938959834997e-06,-0.0004914419872723209,-0.00013183593750001334
balanced,Fair,"alpha=2.0,eps=0.05",2.246735223428379e-05,-0.0012286053375739942,-0.00013183593750001334
balanced,Fair,"alpha=2.0,eps=0.1",4.4934705024922375e-05,-0.002457210486288562,0.0003417968749999556
dominant_helpfulness,Avg,rho=0.0,0.18368877653244758,-0.12687531661423948,-0.014530944824218753
dominant_helpfulness,Avg,rho=0.1,0.1836887765324477,-0.12687531661423954,-0.014530944824218753
dominant_helpfulness,Avg,rho=0.2,0.1836887765324477,-0.12687531661423956,-0.014530944824218753
dominant_helpfulness,Avg,rho=0.5,0.11295626053479195,-0.08641019208898032,-0.0074020385742187625
dominant_helpfulness,MaxMin,c=0.0,0.10858868185271206,-0.09051012988993744,-0.002326965332031236
dominant_helpfulness,MaxMin,c=0.1,0.10375158788411376,-0.06915118215776397,-0.006137084960937483
dominant_helpfulness,MaxMin,c=0.25,0.08378704115939949,-0.05278876137690385,-0.011672973632812514
dominant_helpfulness,MaxMin,c=0.5,0.05498825042654241,-0.03464451769788447,-0.007556152343750025
dominant_helpfulness,MaxMin,c=0.75,0.02736122723816189,-0.01723852848445582,-0.0018463134765624722
dominant_helpfulness,MaxMin,c=0.9,0.010927079692706567,-0.006884441728254106,-0.0033172607421875083
dominant_helpfulness,MaxMin,c=0.95,0.005461259232715355,-0.003440783997906893,-0.0009536743164062639
dominant_helpfulness,Fair,"alpha=0.0,eps=0.01",0.015872136222551812,-0.009999999999999986,-0.0024124145507812764
dominant_helpfulness,Fair,"alpha=0.0,eps=0.02",0.0317442724451035,-0.02000000000000001,-0.00417785644531251
dominant_helpfulness,Fair,"alpha=0.0,eps=0.05",0.07936068111275879,-0.05000000000000001,-0.01271667480468748
dominant_helpfulness,Fair,"alpha=0.0,eps=0.1",0.1587213622255176,-0.10000000000000002,-0.008100891113281244
dominant_helpfulness,Fair,"alpha=0.5,eps=0.01",0.00027370591097275313,-0.0009594215481068963,0.00023498535156248057
dominant_helpfulness,Fair,"alpha=0.5,eps=0.02",0.0005474116959813134,-0.0019188429714028339,0.0006317138671874667
dominant_helpfulness,Fair,"alpha=0.5,eps=0.05",0.0013685291304947325,-0.004797106719729129,-0.0025802612304687556
dominant_helpfulness,Fair,"alpha=0.5,eps=0.1",0.002737058300882532,-0.009594213134500975,-0.002682495117187489
dominant_helpfulness,Fair,"alpha=1.0,eps=0.01",0.0001364141726985476,-0.00048755023539801115,0.00023498535156248057
dominant_helpfulness,Fair,"alpha=1.0,eps=0.02",0.0002728283139925614,-0.0009751005926737178,0.00023498535156248057
dominant_helpfulness,Fair,"alpha=1.0,eps=0.05",0.0006820707485424261,-0.002437751451583361,0.0006317138671874667
dominant_helpfulness,Fair,"alpha=1.0,eps=0.1",0.0013641415408334012,-0.004875503477793886,-0.0025161743164062306
dominant_helpfulness,Fair,"alpha=2.0,eps=0.01",6.808821968761627e-05,-0.0002457210379114311,0.0
dominant_helpfulness,Fair,"alpha=2.0,eps=0.02",0.00013617644235198794,-0.0004914420695712248,0.00023498535156248057
dominant_helpfulness,Fair,"alpha=2.0,eps=0.05",0.0003404411015376467,-0.0012286051758757521,0.00023498535156248057
dominant_helpfulness,Fair,"alpha=2.0,eps=0.1",0.0006808821927274375,-0.0024572103385889317,0.0006317138671874667
dominant_correctness,Avg,rho=0.0,0.1834101700718554,-0.12900303592254694,-0.0008026123046875056
dominant_correctness,Avg,rho=0.1,0.18341017007185564,-0.12900303592254705,-0.0008026123046875056
dominant_correctness,Avg,rho=0.2,0.18341017007185573,-0.12900303592254705,-0.0008026123046875056
dominant_correctness,Avg,rho=0.5,0.11212044331259376,-0.08768690551066904,-0.010923767089843772
